POLY_,POLY_ID,AREA,PERIMETER,OPPR,X,Y,KOORDH,POSTNAVN,OPPDATDATO,MALEMETODE,NOYAKTIGHE,SYNBARHET,H_MALEMETO,H_NOYAKTIG,MAX_AVVIK,OBJTYPE,POSTNR,KOMM,ID,Lat,Long
992,4889,1899303.11273,8106.17014,4,-30728.48000,6573389.01000,0.00000,STAVANGER,,0,0,0,0,0,0,Postomr�de,4014,1103,1,59.28772,5.11688
993,4894,543395.80716,5671.37118,4,-31668.99000,6573223.79000,0.00000,STAVANGER,,0,0,0,0,0,0,Postomr�de,4012,1103,1,59.28772,5.11688
994,4898,795104.68219,5189.35011,4,-32158.15000,6572739.80000,0.00000,STAVANGER,,0,0,0,0,0,0,Postomr�de,4010,1103,1,59.28772,5.11688
995,4903,793582.55397,5753.40480,4,-32015.77000,6571820.24000,0.00000,STAVANGER,,0,0,0,0,0,0,Postomr�de,4011,1103,1,59.28772,5.11688
996,4910,3274085.00993,10191.53078,4,-34238.62000,6571628.01000,26.15000,STAVANGER,,0,0,0,0,0,0,Postomr�de,4021,1103,1,59.28772,5.11688
997,4913,1688853.59756,7157.79724,4,-33397.60000,6571022.76000,0.00000,STAVANGER,,0,0,0,0,0,0,Postomr�de,4019,1103,1,59.28772,5.11688
998,4915,2364565.91808,9379.67806,4,-31370.15000,6570750.01000,0.00000,STAVANGER,,0,0,0,0,0,0,Postomr�de,4016,1103,1,59.28772,5.11688
999,4918,4437848.68085,12857.25233,4,-33206.90000,6569556.36000,0.00000,STAVANGER,,0,0,0,0,0,0,Postomr�de,4018,1103,1,59.28772,5.11688
1000,4921,3911285.57529,11046.62819,4,-32833.89000,6566810.75000,0.00000,STAVANGER,,0,0,0,0,0,0,Postomr�de,4032,1103,1,59.28772,5.11688
1001,4924,3801576.30499,11838.13440,4,-35920.99000,6571848.00000,0.00000,HAFRSFJORD,,0,0,0,0,0,0,Postomr�de,4045,1103,1,59.28772,5.11688
1002,4931,2634672.87949,8800.10014,4,-38900.01000,6574670.49000,0.38000,HAFRSFJORD,,0,0,0,0,0,0,Postomr�de,4049,1103,1,59.28772,5.11688
1003,4936,2852474.87178,10317.90988,4,-37180.00000,6574154.00000,6.26000,HAFRSFJORD,,0,0,0,0,0,0,Postomr�de,4047,1103,1,59.28772,5.11688
1004,4938,2374500.23303,10115.93214,4,-39105.31000,6574116.93000,0.00000,HAFRSFJORD,,0,0,0,0,0,0,Postomr�de,4048,1103,1,59.28772,5.11688
1005,4942,604039.93617,4531.54420,4,-33236.59000,6575269.21000,0.00000,STAVANGER,,0,0,0,0,0,0,Postomr�de,4026,1103,1,59.28772,5.11688
